"","count","n","col5","col4","col3","col2","col1","output"
"589",26,6,"per","serving","calories","g","fat","mg"
"590",26,6,"run","with","a","pace","of","mi"
"591",26,6,"thank","you","for","the","shout","out"
"592",26,6,"thank","you","very","much","for","the"
"593",26,6,"the","national","register","of","historic","places"
"594",26,6,"the","world","famous","comic","strip","live"
"595",26,6,"this","is","crazy","but","here's","my"
"596",26,6,"this","is","the","first","time","i've"
"597",26,6,"to","all","the","mothers","out","there"
"598",26,6,"to","get","to","the","bottom","of"
"599",26,6,"to","give","a","shout","out","to"
"600",26,6,"what","did","you","think","of","the"
"601",26,6,"will","be","interesting","to","see","how"
"602",26,6,"will","you","please","follow","me","back"
"603",26,6,"would","be","a","good","time","to"
"604",26,6,"would","do","the","best","day","of"
"605",26,6,"you","don't","have","to","be","a"
"606",25,6,"all","i","have","to","say","is"
"607",25,6,"all","in","all","it","was","a"
"608",25,6,"amp","amp","amp","lt","span","style"
"609",25,6,"amp","amp","lt","span","style","background"
"610",25,6,"assembly","speaker","sheila","oliver","d","essex"
"611",25,6,"cash","for","a","square","foot","home"
"612",25,6,"did","not","respond","to","a","request"
"613",25,6,"follow","me","so","i","can","dm"
"614",25,6,"from","the","bottom","of","my","heart"
"615",25,6,"from","the","other","side","of","the"
"616",25,6,"go","so","far@to","say",NA,NA
"617",25,6,"going","to","be","a","great","day"
"618",25,6,"going","to","be","a","lot","of"
"619",25,6,"great","way","to","start","the","day"
"620",25,6,"here","are","a","few","of","my"
"621",25,6,"i","am","a","big","fan","of"
"622",25,6,"i","feel","like","i","need","to"
"623",25,6,"i","have","no","idea","what","the"
"624",25,6,"i","have","not","been","able","to"
"625",25,6,"i","spend","a","lot","of","time"
"626",25,6,"i","was","the","only","one","who"
"627",25,6,"in","the","parking","lot","of","the"
"628",25,6,"is","that","too","much","to","ask"
"629",25,6,"it","has","something","to","do","with"
"630",25,6,"it","is","one","of","the","most"
"631",25,6,"it","would","be","nice","to","have"
"632",25,6,"john","smithâ","s","grand","national","record"
"633",25,6,"know","what","to","do","with","myself"
"634",25,6,"look","forward","to","hearing","from","you"
"635",25,6,"love","you","with","all","my","heart"
"636",25,6,"mi","run","with","a","pace","of"
"637",25,6,"on","a","day","to","day","basis"
"638",25,6,"one","of","the","best","ways","to"
"639",25,6,"please","let","me","know","if","you"
"640",25,6,"the","dow","jones","industrial","average","fell"
"641",25,6,"thought","it","was","going","to","be"
"642",25,6,"to","figure","out","what","to","do"
"643",25,6,"trying","to","figure","out","what","to"
"644",25,6,"was","the","right","thing","to","do"
"645",25,6,"weâ","re","going","to","have","to"
"646",25,6,"what","are","your","plans","for","the"
"647",25,6,"what","would","you","do","if","you"
"648",25,6,"who","do","you","think","you","are"
"649",24,6,"a","big","thank","you","to","all"
"650",24,6,"and","this","is","crazy","but","here's"
"651",24,6,"at","the","end","of","the","school"
"652",24,6,"baby","you","light","up","my","world"
"653",24,6,"but","here's","my","number","so","call"
"654",24,6,"donâ","t","know","about","you","but"
"655",24,6,"have","to","figure","out","how","to"
"656",24,6,"hope","everyone","had","a","great","weekend"
"657",24,6,"hope","to","see","you","all","there"
"658",24,6,"i","am","really","looking","forward","to"
"659",24,6,"i","donâ","t","know","about","you"
"660",24,6,"i","have","accepted","and","allowed","myself"
"661",24,6,"i","look","forward","to","your","tweets"
"662",24,6,"in","the","last","couple","of","years"
"663",24,6,"is","going","to","be","a","long"
"664",24,6,"it's","only","a","matter","of","time"
"665",24,6,"looking","forward","to","working","with","you"
"666",24,6,"mean","the","world","to","me","if"
"667",24,6,"mother's","day","to","all","the","moms"
"668",24,6,"of","medicine","and","dentistry","of","new"
"669",24,6,"on","a","case","by","case","basis"
"670",24,6,"on","the","edge","of","my","seat"
"671",24,6,"one","of","my","favorite","things","about"
"672",24,6,"since","the","beginning","of","the","year"
"673",24,6,"the","end","of","the","day","you"
"674",24,6,"this","is","one","of","the","best"
"675",24,6,"to","figure","out","how","to","get"
"676",24,6,"to","get","out","of","the","house"
"677",24,6,"university","of","medicine","and","dentistry","of"
"678",24,6,"wanted","to","let","you","know","that"
"679",24,6,"what","it","feels","like","to","be"
"680",24,6,"what","the","hell","is","going","on"
"681",24,6,"when","i","was","a","kid","i"
"682",23,6,"a","force","to","be","reckoned","with"
"683",23,6,"all","i","can","say","is","that"
"684",23,6,"and","exercise","diary","for","and","was"
"685",23,6,"and","for","the","first","time","in"
"686",23,6,"and","i","canâ","t","wait","to"
"687",23,6,"at","the","end","of","a","long"
"688",23,6,"exercise","diary","for","and","was","under"
"689",23,6,"food","and","exercise","diary","for","and"
"690",23,6,"for","a","square","foot","home","with"
"691",23,6,"for","more","information","or","to","register"
"692",23,6,"have","accepted","and","allowed","myself","to"
"693",23,6,"have","nothing","to","do","with","the"
"694",23,6,"hope","you","have","a","wonderful","day"
"695",23,6,"if","you","donâ","t","have","a"
"696",23,6,"in","every","sense","of","the","word"
"697",23,6,"in","the","back","of","the","head"
"698",23,6,"is","an","hot","account","related","to"
"699",23,6,"is","not","an","act","but","a"
"700",23,6,"it","had","nothing","to","do","with"
"701",23,6,"it","has","been","a","long","time"
"702",23,6,"it","seems","to","me","that","the"
"703",23,6,"loyola","university","of","chicago","chicago","illinois"
"704",23,6,"me","know","if","i","can","help"
"705",23,6,"mothers","day","to","all","the","mothers"
"706",23,6,"one","of","the","things","i","love"
"707",23,6,"rain","rain","rain","rain","rain","rain"
"708",23,6,"senate","majority","leader","harry","reid","d"
"709",23,6,"thank","you","for","all","you","do"
"710",23,6,"thank","you","to","all","of","our"
"711",23,6,"thank","you","to","all","of","you"
"712",23,6,"that","have","nothing","to","do","with"
"713",23,6,"that","i","have","accepted","and","allowed"
"714",23,6,"the","end","of","the","day","it"
"715",23,6,"the","end","of","the","day","the"
"716",23,6,"the","light","at","the","end","of"
"717",23,6,"the","right","place","at","the","right"
"718",23,6,"the","wee","hours","of","the","morning"
"719",23,6,"there","are","a","lot","of","things"
"720",23,6,"there","is","going","to","be","a"
"721",23,6,"to","find","a","way","to","get"
"722",23,6,"to","reach","this","plain","dealer","reporter"
"723",23,6,"to","spend","a","lot","of","time"
"724",23,6,"us","know","if","we","can","help"
"725",23,6,"what","can","only","be","described","as"
"726",23,6,"what","do","you","do","when","you"
"727",23,6,"you","don't","have","to","worry","about"
"728",23,6,"you","have","to","be","able","to"
"729",23,6,"you","to","everyone","who","came","out"
"730",23,6,"î","î","î","î","î","î"
"731",22,6,"15th","birthday","and","i","love","you"
"732",22,6,"a","concert","and","meet","n","greet"
"733",22,6,"a","great","way","to","start","the"
"734",22,6,"a","little","more","than","a","year"
"735",22,6,"a","look","at","some","of","the"
"736",22,6,"a","profit","of","million","or","cents"
"737",22,6,"about","an","hour","and","a","half"
"738",22,6,"according","to","a","report","by","the"
"739",22,6,"all","the","time","in","the","world"
"740",22,6,"and","i","love","you","so","so"
"741",22,6,"and","let","us","know","what","you"
"742",22,6,"and","to","washington","dc","for","a"
"743",22,6,"are","rounded","to","the","nearest","whole"
"744",22,6,"at","the","end","of","the","night"
"745",22,6,"at","the","end","of","the","third"
"746",22,6,"at","the","top","of","my","lungs"
"747",22,6,"at","this","time","of","the","year"
"748",22,6,"be","on","the","look","out","for"
"749",22,6,"birthday","and","i","love","you","so"
"750",22,6,"but","at","the","same","time","it"
"751",22,6,"but","i","donâ","t","want","to"
"752",22,6,"can't","remember","the","last","time","i"
"753",22,6,"can't","wait","to","see","you","guys"
"754",22,6,"day","to","all","the","mothers","out"
"755",22,6,"dc","for","a","concert","and","meet"
"756",22,6,"donuts","do","the","boyz","like","dd"
"757",22,6,"dâ","i","suscribed","every","single","one"
"758",22,6,"every","single","one","of","your","videos"
"759",22,6,"for","a","concert","and","meet","n"
"760",22,6,"get","back","into","the","swing","of"
"761",22,6,"hope","you","all","had","a","great"
"762",22,6,"humane","society","of","the","united","states"
"763",22,6,"i","haven't","talked","to","you","in"
"764",22,6,"i","suscribed","every","single","one","of"
"765",22,6,"i","think","a","lot","of","people"
"766",22,6,"i","want","to","go","back","to"
"767",22,6,"if","at","first","you","don't","succeed"
"768",22,6,"in","a","large","skillet","over","medium"
"769",22,6,"in","the","same","period","last","year"
"770",22,6,"is","crazy","but","here's","my","number"
"771",22,6,"is","going","to","be","the","best"
"772",22,6,"is","my","15th","birthday","and","i"
"773",22,6,"it's","been","a","while","since","i've"
"774",22,6,"it","doesnâ","t","have","to","be"
"775",22,6,"it","took","me","a","while","to"
"776",22,6,"it","was","great","to","see","you"
"777",22,6,"it","was","one","of","the","best"
"778",22,6,"kind","of","donuts","do","the","boyz"
"779",22,6,"let","me","know","if","you","are"
"780",22,6,"let","us","know","how","it","goes"
"781",22,6,"me","it","would","mean","the","world"
"782",22,6,"medicine","and","dentistry","of","new","jersey"
"783",22,6,"mother's","day","to","all","the","mothers"
"784",22,6,"mothers","day","to","all","the","moms"
"785",22,6,"much","dâ","i","suscribed","every","single"
"786",22,6,"my","15th","birthday","and","i","love"
"787",22,6,"nearest","whole","number","calories","calories","from"
"788",22,6,"not","for","the","faint","of","heart"
"789",22,6,"not","respond","to","a","request","for"
"790",22,6,"number","calories","calories","from","fat","percent"
"791",22,6,"of","donuts","do","the","boyz","like"
"792",22,6,"of","your","videos","on","youtube","plz"
"793",22,6,"one","of","your","videos","on","youtube"
"794",22,6,"proud","to","be","a","part","of"
"795",22,6,"put","a","smile","on","my","face"
"796",22,6,"right","place","at","the","right","time"
"797",22,6,"rounded","to","the","nearest","whole","number"
"798",22,6,"single","one","of","your","videos","on"
"799",22,6,"so","much","dâ","i","suscribed","every"
"800",22,6,"so","so","much","dâ","i","suscribed"
"801",22,6,"so","so","so","much","dâ","i"
"802",22,6,"suscribed","every","single","one","of","your"
"803",22,6,"that","at","the","end","of","the"
"804",22,6,"the","humane","society","of","the","united"
"805",22,6,"the","nearest","whole","number","calories","calories"
"806",22,6,"the","school","of","law","loyola","university"
"807",22,6,"the","truth","of","the","matter","is"
"808",22,6,"to","make","the","world","a","better"
"809",22,6,"to","the","nearest","whole","number","calories"
"810",22,6,"to","washington","dc","for","a","concert"
"811",22,6,"today","is","my","15th","birthday","and"
"812",22,6,"values","are","rounded","to","the","nearest"
"813",22,6,"videos","on","youtube","plz","follow","me"
"814",22,6,"washington","dc","for","a","concert","and"
"815",22,6,"we","can't","wait","to","see","you"
"816",22,6,"what","kind","of","donuts","do","the"
"817",22,6,"whole","number","calories","calories","from","fat"
"818",22,6,"you","so","so","so","much","dâ"
"819",22,6,"your","videos","on","youtube","plz","follow"
"820",22,6,"â","œi","donâ","t","know","if"
"821",21,6,"a","larceny","was","reported","at","p.m"
"822",21,6,"a","little","goes","a","long","way"
"823",21,6,"and","by","the","end","of","the"
"824",21,6,"and","i","have","to","say","that"
"825",21,6,"as","a","matter","of","fact","i"
"826",21,6,"at","the","end","of","this","post"
"827",21,6,"boston","add","boston","add","boston","add"
"828",21,6,"by","the","end","of","the","night"
"829",21,6,"coming","to","the","stage","at","the"
"830",21,6,"completed","her","food","and","exercise","diary"
"831",21,6,"did","not","respond","to","requests","for"
"832",21,6,"don't","get","me","wrong","i","love"
"833",21,6,"endangering","the","welfare","of","a","child"
"834",21,6,"follow","me","and","i","will","follow"
"835",21,6,"follow","she","is","you","biggest","fan"
"836",21,6,"for","a","year","and","a","half"
"837",21,6,"forgive","myself","that","i","have","accepted"
"838",21,6,"had","something","to","do","with","it"
"839",21,6,"her","food","and","exercise","diary","for"
"840",21,6,"i'm","not","the","only","one","who"
"841",21,6,"i","can't","remember","the","last","time"
"842",21,6,"i","donâ","t","know","why","i"
"843",21,6,"i","forgive","myself","that","i","have"
"844",21,6,"i","hope","you","are","having","a"
"845",21,6,"i","just","want","you","to","know"
"846",21,6,"i","look","forward","to","seeing","you"
"847",21,6,"i","made","this","account","to","support"
"848",21,6,"i","want","you","to","know","that"
"849",21,6,"i","will","do","my","best","to"
"850",21,6,"i","wish","i","could","go","to"
"851",21,6,"in","the","grand","scheme","of","things"
"852",21,6,"in","the","right","place","at","the"
"853",21,6,"information","per","serving","values","are","rounded"
"854",21,6,"it's","the","right","thing","to","do"
"855",21,6,"itâ","s","just","a","matter","of"
"856",21,6,"iâ","m","not","the","only","one"
"857",21,6,"know","what","iâ","m","talking","about"
"858",21,6,"look","forward","to","seeing","you","there"
"859",21,6,"made","this","account","to","support","you"
"860",21,6,"million","or","cents","a","share","in"
"861",21,6,"million","or","cents","per","share","in"
"862",21,6,"myself","that","i","have","accepted","and"
"863",21,6,"not","to","be","confused","with","the"
"864",21,6,"nutrition","information","per","serving","values","are"
"865",21,6,"of","law","loyola","university","of","chicago"
"866",21,6,"of","million","or","cents","a","share"
"867",21,6,"on","the","national","register","of","historic"
"868",21,6,"on","the","opposite","side","of","the"
"869",21,6,"people","from","all","over","the","world"
"870",21,6,"per","serving","values","are","rounded","to"
"871",21,6,"please","follow","me","i","love","you"
"872",21,6,"please","follow","she","is","you","biggest"
"873",21,6,"school","of","law","loyola","university","of"
"874",21,6,"serving","values","are","rounded","to","the"
"875",21,6,"stage","at","the","world","famous","comic"
"876",21,6,"states","and","the","district","of","columbia"
"877",21,6,"stores","open","at","least","a","year"
"878",21,6,"the","best","day","of","my","life"
"879",21,6,"the","company","said","in","a","statement"
"880",21,6,"the","dow","jones","industrial","average","rose"
"881",21,6,"the","end","of","the","year","and"
"882",21,6,"the","good","the","bad","and","the"
"883",21,6,"the","killing","of","osama","bin","laden"
"884",21,6,"the","middle","of","the","night","and"
"885",21,6,"the","only","person","in","the","world"
"886",21,6,"the","other","side","of","the","world"
"887",21,6,"the","stage","at","the","world","famous"
"888",21,6,"the","state","attorney","generalâ","s","office"
"889",21,6,"to","get","in","the","way","of"
"890",21,6,"to","the","rest","of","the","world"
"891",21,6,"to","the","stage","at","the","world"
"892",21,6,"what","a","great","way","to","start"
"893",21,6,"what","are","we","going","to","do"
"894",21,6,"when","i","was","a","little","girl"
"895",21,6,"with","the","rest","of","the","world"
"896",21,6,"would","be","a","good","idea","to"
"897",21,6,"you","have","no","idea","how","much"
